,0,1,2,3,4,5,6,7,8,9,10
Row1,30792.0,151.36,30473.0,32065.0,746.8,2353300000.0,9284400.0,30853.0,122790.0,746.8,1.0
Row2,31027.0,278.37,30768.0,32064.0,920.97,2199700000.0,8953900.0,30896.0,122730.0,920.97,1.0
Row3,30915.0,206.31,30666.0,31909.0,716.02,2331500000.0,9292300.0,31135.0,123580.0,716.02,1.0
Row4,25234.0,538.91,24894.0,26593.0,575.84,1345700000.0,6291200.0,24906.0,99226.0,575.84,1.0
Row5,27022.0,749.04,26663.0,28608.0,433.35,1616800000.0,7180000.0,26859.0,106840.0,433.35,1.0
Row6,32032.0,691.09,31575.0,33973.0,495.96,2483600000.0,9734400.0,31907.0,127120.0,495.96,1.0
Row7,27296.0,2126.1,26819.0,29267.0,467.81,1510400000.0,6979200.0,27230.0,108370.0,467.81,1.0
Row8,26316.0,2639.8,25874.0,28124.0,443.18,1308200000.0,6382800.0,26171.0,104430.0,443.18,1.0
Row9,30439.0,2406.4,30005.0,32305.0,494.76,1919800000.0,8317800.0,30374.0,121110.0,494.76,1.0
Row10,38567.0,760.63,37654.0,42437.0,182.25,3443700000.0,12585000.0,38513.0,153760.0,182.25,1.0
Row11,39181.0,779.43,37992.0,44169.0,125.3,3556100000.0,12904000.0,39158.0,156290.0,125.3,1.0
Row12,40933.0,460.06,39940.0,45095.0,159.02,4452500000.0,14879000.0,40877.0,163760.0,159.02,1.0
Row13,17729.0,316.91,17544.0,18549.0,673.21,718950000.0,3878300.0,17807.0,70303.0,673.21,1.0
Row14,18279.0,500.73,18087.0,19049.0,784.98,698250000.0,3853400.0,18132.0,71517.0,784.98,1.0
Row15,20382.0,630.2,20186.0,21165.0,1072.6,875120000.0,4569900.0,20281.0,80085.0,1072.6,1.0
Row16,25006.0,525.39,24827.0,25782.0,1192.5,1273200000.0,6116300.0,25062.0,98687.0,1192.5,1.0
Row17,25721.0,691.87,25438.0,26854.0,1158.6,1400200000.0,6522900.0,25606.0,102010.0,1158.6,1.0
Row18,23329.0,322.68,23069.0,24465.0,1168.3,1203000000.0,5761900.0,23460.0,92810.0,1168.3,1.0
Row19,21528.0,322.7,21269.0,22562.0,1093.0,1067500000.0,5207700.0,21482.0,85080.0,1093.0,1.0
Row20,21334.0,414.08,21184.0,21934.0,965.42,1039900000.0,5095900.0,21177.0,83987.0,965.42,1.0
Row21,20290.0,418.82,20166.0,20787.0,1244.9,923770000.0,4703300.0,20273.0,79889.0,1244.9,1.0
Row22,25591.0,1987.7,25171.0,27350.0,354.76,1364200000.0,6400800.0,25380.0,101300.0,354.76,1.0
Row23,24300.0,1608.8,23890.0,26001.0,363.19,1301100000.0,6107300.0,24223.0,96641.0,363.19,1.0
Row24,25712.0,1431.9,25244.0,27620.0,378.67,1464500000.0,6644200.0,25496.0,101920.0,378.67,1.0
Row25,25179.0,469.53,24664.0,27242.0,242.23,1639700000.0,7031000.0,25058.0,100060.0,242.23,1.0
Row26,23910.0,544.04,23525.0,25629.0,244.38,1393000000.0,6302000.0,23787.0,95123.0,244.38,1.0
Row27,23127.0,311.07,22634.0,25095.0,310.81,1343900000.0,6106000.0,23158.0,92287.0,310.81,1.0
Row28,38629.0,579.19,38028.0,41291.0,307.79,3302000000.0,12319000.0,38569.0,153760.0,307.79,1.0
Row29,37967.0,538.51,37200.0,41192.0,369.61,3232500000.0,12088000.0,38232.0,152130.0,369.61,1.0
Row30,32312.0,428.71,31936.0,33882.0,336.3,2348900000.0,9540300.0,32307.0,130340.0,336.3,1.0
Row31,21596.0,191.2,21292.0,22814.0,485.12,1092200000.0,5276500.0,21655.0,85710.0,485.12,1.0
Row32,21378.0,473.81,21099.0,22494.0,623.11,990090000.0,4998100.0,21267.0,84607.0,623.11,1.0
Row33,22042.0,294.26,21716.0,23416.0,478.32,1151300000.0,5509600.0,22107.0,87788.0,478.32,1.0
Row34,19323.0,847.17,18923.0,20963.0,322.3,839250000.0,4360800.0,19299.0,76680.0,322.3,1.0
Row35,24024.0,1185.9,23627.0,25634.0,354.01,1244700000.0,5969200.0,24176.0,96268.0,354.01,1.0
Row36,26694.0,717.91,26268.0,28473.0,278.79,1827100000.0,7677700.0,26936.0,107130.0,278.79,1.0
Row37,22120.0,1126.3,21807.0,23390.0,608.2,1067200000.0,5277300.0,22053.0,87555.0,608.2,1.0
Row38,22418.0,823.96,22058.0,23881.0,444.12,1052100000.0,5270700.0,22280.0,88900.0,444.12,1.0
Row39,24922.0,873.2,24573.0,26376.0,396.8,1360200000.0,6317600.0,24714.0,98767.0,396.8,1.0
Row40,20577.0,396.54,20110.0,22568.0,614.74,902860000.0,4701200.0,20828.0,82397.0,614.74,1.0
Row41,16434.0,438.76,16225.0,17272.0,505.92,607480000.0,3422200.0,16385.0,65053.0,505.92,1.0
Row42,16096.0,476.34,15869.0,17032.0,431.95,567400000.0,3274900.0,16028.0,63742.0,431.95,1.0
Row43,37923.0,203.86,37524.0,39516.0,850.2,3547600000.0,12680000.0,38040.0,151270.0,850.2,3.0
Row44,37597.0,237.17,37141.0,39422.0,927.41,3450400000.0,12459000.0,37622.0,149370.0,927.41,3.0
Row45,37024.0,226.59,36710.0,38447.0,904.55,3170800000.0,11807000.0,36641.0,146440.0,904.55,3.0
Row46,33589.0,630.68,31601.0,97963.0,358.79,2492400000.0,10312000.0,36902.0,147940.0,358.79,3.0
Row47,37043.0,925.4,36180.0,40749.0,316.4,2656300000.0,10840000.0,37439.0,149150.0,316.4,3.0
Row48,30039.0,854.32,29505.0,32306.0,246.96,1664300000.0,7700900.0,30135.0,120080.0,246.96,3.0
Row49,42607.0,334.9,41662.0,46667.0,201.94,4024500000.0,14310000.0,42773.0,170040.0,201.94,3.0
Row50,46118.0,303.44,45167.0,50108.0,205.98,4895200000.0,16564000.0,46803.0,185780.0,205.98,3.0
Row51,51980.0,291.61,50595.0,57731.0,118.29,7171100000.0,21360000.0,52377.0,209300.0,118.29,3.0
Row52,31576.0,412.76,30975.0,34154.0,297.02,2520900000.0,9780000.0,31533.0,125730.0,297.02,3.0
Row53,30663.0,399.76,30064.0,33133.0,289.2,2310600000.0,9183100.0,30487.0,121490.0,289.2,3.0
Row54,33153.0,362.32,32305.0,36643.0,213.05,2814900000.0,10537000.0,32953.0,131620.0,213.05,3.0
Row55,43984.0,524.92,43060.0,47786.0,359.8,3869000000.0,14171000.0,43602.0,173880.0,359.8,3.0
Row56,42536.0,590.3,41852.0,45394.0,331.28,3720700000.0,13593000.0,41989.0,167880.0,331.28,3.0
Row57,38170.0,448.92,37346.0,41620.0,311.19,2623600000.0,10804000.0,37369.0,149970.0,311.19,3.0
Row58,28454.0,394.25,28098.0,29878.0,303.04,2038600000.0,8357200.0,28569.0,113480.0,303.04,3.0
Row59,26916.0,594.15,26575.0,28331.0,362.65,1588100000.0,7136700.0,26751.0,106490.0,362.65,3.0
Row60,29695.0,574.72,29067.0,32311.0,309.48,2171000000.0,8760900.0,29496.0,117860.0,309.48,3.0
