,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Row1,30792.0,151.36,3.3202,0.006084,0.98905,1.0438,30473.0,32065.0,80.408,746.8,0.17726,2353300000.0,9284400.0,21.671,0.10340999999999999,30853.0,348.88,122790.0,746.8,-0.022359999999999998,0.059332,0.9251,0.9889899999999999,1.0
Row2,31027.0,278.37,4.3355,0.011123000000000001,0.9913799999999999,1.0345,30768.0,32064.0,222.1,920.97,0.32539,2199700000.0,8953900.0,23.357,0.099468,30896.0,347.73,122730.0,920.97,-0.020066999999999998,0.043187,0.9205,0.98659,1.0
Row3,30915.0,206.31,3.6189999999999998,0.008232399999999999,0.99197,1.0321,30666.0,31909.0,166.39,716.02,0.31744,2331500000.0,9292300.0,21.186999999999998,0.10492,31135.0,349.55,123580.0,716.02,-0.022026,0.050785000000000004,0.92663,0.98941,1.0
Row4,25234.0,538.91,7.9488,0.021855,0.9859100000000001,1.0563,24894.0,26593.0,291.17,575.84,0.5028699999999999,1345700000.0,6291200.0,18.52,0.11859000000000001,24906.0,312.22,99226.0,575.84,-0.024595,0.031882,0.93524,0.99149,1.0
Row5,27022.0,749.04,12.389000000000001,0.030371,0.98585,1.0631,26663.0,28608.0,233.34,433.35,0.51855,1616800000.0,7180000.0,16.293,0.12733,26859.0,324.76,106840.0,433.35,-0.027379,0.027760000000000003,0.94219,0.9935299999999999,1.0
Row6,32032.0,691.09,12.050999999999998,0.028066000000000004,0.98525,1.0621,31575.0,33973.0,128.45,495.96,0.34124,2483600000.0,9734400.0,17.51,0.12153,31907.0,355.12,127120.0,495.96,-0.025457,0.026991,0.9382299999999999,0.99261,1.0
Row7,27296.0,2126.1,27.250999999999998,0.086914,0.9827600000000001,1.0717,26819.0,29267.0,459.81,467.81,0.66284,1510400000.0,6979200.0,16.843,0.12844,27230.0,325.67,108370.0,467.81,-0.026246,0.018238,0.94047,0.99303,1.0
Row8,26316.0,2639.8,29.526,0.10764000000000001,0.9837799999999999,1.0671,25874.0,28124.0,656.72,443.18,0.74775,1308200000.0,6382800.0,16.335,0.12977,26171.0,318.37,104430.0,443.18,-0.027248,0.017878,0.94214,0.99339,1.0
Row9,30439.0,2406.4,30.103,0.097715,0.9853299999999999,1.0623,30005.0,32305.0,445.58,494.76,0.64302,1919800000.0,8317800.0,17.305,0.12405999999999999,30374.0,344.71,121110.0,494.76,-0.025719,0.017491,0.9390000000000001,0.99264,1.0
Row10,38567.0,760.63,13.931,0.03168,0.9758100000000001,1.103,37654.0,42437.0,259.17,182.25,0.73988,3443700000.0,12585000.0,10.610999999999999,0.17206,38513.0,390.56,153760.0,182.25,-0.04099,0.030910000000000003,0.96111,0.99724,1.0
Row11,39181.0,779.43,15.03,0.03292,0.97034,1.1253,37992.0,44169.0,265.23,125.3,0.80905,3556100000.0,12904000.0,8.8538,0.19354000000000002,39158.0,393.83,156290.0,125.3,-0.048413,0.032735,0.9672,0.9981,1.0
Row12,40933.0,460.06,12.477,0.019141,0.97604,1.1004,39940.0,45095.0,76.979,159.02,0.49231,4452500000.0,14879000.0,9.872,0.18184,40877.0,404.08,163760.0,159.02,-0.044036,0.035985,0.96368,0.99759,1.0
Row13,17729.0,316.91,6.0129,0.012764,0.9884,1.0498,17544.0,18549.0,111.85,673.21,0.24948,718950000.0,3878300.0,20.392,0.11017,17807.0,263.02,70303.0,673.21,-0.022333000000000002,0.040095,0.9291799999999999,0.9900399999999999,1.0
Row14,18279.0,500.73,7.5964,0.020137000000000002,0.98908,1.0437,18087.0,19049.0,209.66,784.98,0.34824,698250000.0,3853400.0,21.904,0.10323,18132.0,264.37,71517.0,784.98,-0.020839,0.032283,0.92461,0.9884700000000001,1.0
Row15,20382.0,630.2,8.0542,0.025234,0.9907100000000001,1.0372,20186.0,21165.0,300.01,1072.6,0.35873,875120000.0,4569900.0,25.774,0.090937,20281.0,278.94,80085.0,1072.6,-0.017558,0.02864,0.9129200000000001,0.98441,1.0
Row16,25006.0,525.39,6.1242,0.020947,0.9922200000000001,1.0332,24827.0,25782.0,420.51,1192.5,0.41367,1273200000.0,6116300.0,27.522,0.08429,25062.0,309.53,98687.0,1192.5,-0.016725,0.03193,0.90755,0.9827,1.0
Row17,25721.0,691.87,7.9708,0.027832,0.98892,1.0443,25438.0,26854.0,352.53,1158.6,0.37861,1400200000.0,6522900.0,26.574,0.094123,25606.0,315.33,102010.0,1158.6,-0.01711,0.027721,0.91074,0.98329,1.0
Row18,23329.0,322.68,4.7104,0.012969,0.9890899999999999,1.047,23069.0,24465.0,238.19,1168.3,0.28968,1203000000.0,5761900.0,27.366,0.089242,23460.0,301.14,92810.0,1168.3,-0.01708,0.041098,0.9079200000000001,0.98301,1.0
Row19,21528.0,322.7,4.7735,0.013027,0.98762,1.0495,21269.0,22562.0,118.19,1093.0,0.17784,1067500000.0,5207700.0,26.006999999999998,0.093748,21482.0,288.98,85080.0,1093.0,-0.01779,0.039602,0.9122299999999999,0.98416,1.0
Row20,21334.0,414.08,6.0864,0.016484,0.9928799999999999,1.0285,21184.0,21934.0,119.43,965.42,0.19837,1039900000.0,5095900.0,24.756,0.089047,21177.0,287.3,83987.0,965.42,-0.018677000000000003,0.034888999999999996,0.9156799999999999,0.9858899999999999,1.0
Row21,20290.0,418.82,5.7167,0.01665,0.9934,1.0264,20166.0,20787.0,119.56,1244.9,0.16115,923770000.0,4703300.0,27.997,0.085646,20273.0,279.57,79889.0,1244.9,-0.016437,0.034575999999999996,0.90627,0.98201,1.0
Row22,25591.0,1987.7,28.363000000000003,0.081084,0.98364,1.0681,25171.0,27350.0,334.45,354.76,0.65349,1364200000.0,6400800.0,14.972000000000001,0.13427999999999998,25380.0,315.59,101300.0,354.76,-0.029267,0.019072,0.9463600000000001,0.99467,1.0
Row23,24300.0,1608.8,26.611,0.06582,0.98255,1.0725,23890.0,26001.0,232.75,363.19,0.56175,1301100000.0,6107300.0,15.019,0.13575,24223.0,308.77,96641.0,363.19,-0.029325999999999998,0.020528,0.9462799999999999,0.99456,1.0
Row24,25712.0,1431.9,23.53,0.058711,0.9817,1.0747,25244.0,27620.0,257.32,378.67,0.57628,1464500000.0,6644200.0,15.255,0.13512000000000002,25496.0,317.02,101920.0,378.67,-0.028929000000000003,0.021388,0.94555,0.9943299999999999,1.0
Row25,25179.0,469.53,12.460999999999999,0.019385,0.97921,1.0832,24664.0,27242.0,53.756,242.23,0.30741999999999997,1639700000.0,7031000.0,12.31,0.15435,25058.0,315.59,100060.0,242.23,-0.035873,0.033371,0.9552799999999999,0.99635,1.0
Row26,23910.0,544.04,13.038,0.022207,0.98324,1.0749,23525.0,25629.0,107.05,244.38,0.4671,1393000000.0,6302000.0,12.529000000000002,0.14784,23787.0,307.32,95123.0,244.38,-0.035082999999999996,0.031116,0.9544600000000001,0.99631,1.0
Row27,23127.0,311.07,7.5899,0.012871,0.97835,1.0866,22634.0,25095.0,63.107,310.81,0.28881999999999997,1343900000.0,6106000.0,13.833,0.14407,23158.0,302.85,92287.0,310.81,-0.032906,0.040997000000000006,0.9502200000000001,0.9953299999999999,1.0
Row28,38629.0,579.19,9.0786,0.023506,0.9854700000000001,1.0637,38028.0,41291.0,376.13,307.79,0.7097,3302000000.0,12319000.0,13.764000000000001,0.14163,38569.0,389.79,153760.0,307.79,-0.032456,0.032197,0.9504600000000001,0.9953700000000001,1.0
Row29,37967.0,538.51,8.3282,0.022119,0.9809399999999999,1.0802,37200.0,41192.0,349.16,369.61,0.65409,3232500000.0,12088000.0,15.048,0.14029,38232.0,387.76,152130.0,369.61,-0.0293,0.032928,0.94624,0.9944700000000001,1.0
Row30,32312.0,428.71,6.7419,0.017266,0.98845,1.0487,31936.0,33882.0,335.34,336.3,0.6724399999999999,2348900000.0,9540300.0,14.31,0.13652,32307.0,358.69,130340.0,336.3,-0.031869999999999996,0.036571,0.94868,0.9949600000000001,1.0
Row31,21596.0,191.2,4.3135,0.0077734,0.9848600000000001,1.0606,21292.0,22814.0,117.32,485.12,0.32633,1092200000.0,5276500.0,17.338,0.1271,21655.0,291.12,85710.0,485.12,-0.025992,0.050318,0.9388,0.99275,1.0
Row32,21378.0,473.81,7.5728,0.01916,0.9869899999999999,1.052,21099.0,22494.0,232.06,623.11,0.42699,990090000.0,4998100.0,19.463,0.11341,21267.0,288.19,84607.0,623.11,-0.023377000000000002,0.033513999999999995,0.93216,0.99079,1.0
Row33,22042.0,294.26,5.9736,0.011973000000000001,0.98456,1.0654,21716.0,23416.0,112.33,478.32,0.31961999999999996,1151300000.0,5509600.0,17.112000000000002,0.12825,22107.0,294.71,87788.0,478.32,-0.026479000000000003,0.041625999999999996,0.9395700000000001,0.99287,1.0
Row34,19323.0,847.17,16.605999999999998,0.03501,0.9787799999999999,1.0874,18923.0,20963.0,162.62,322.3,0.50237,839250000.0,4360800.0,14.182,0.14368,19299.0,275.14,76680.0,322.3,-0.030862999999999998,0.025961,0.9490200000000001,0.99516,1.0
Row35,24024.0,1185.9,18.407,0.048389,0.98362,1.0664,23627.0,25634.0,280.12,354.01,0.6128100000000001,1244700000.0,5969200.0,14.987,0.13279000000000002,24176.0,307.88,96268.0,354.01,-0.029352,0.022583000000000002,0.9463,0.99469,1.0
Row36,26694.0,717.91,16.05,0.029248000000000003,0.98413,1.0665,26268.0,28473.0,83.76799999999999,278.79,0.37566,1827100000.0,7677700.0,13.312999999999999,0.14189000000000002,26936.0,326.36,107130.0,278.79,-0.033123,0.027374000000000002,0.95185,0.9958,1.0
Row37,22120.0,1126.3,16.346,0.045663999999999996,0.98601,1.0569,21807.0,23390.0,221.85,608.2,0.42181,1067200000.0,5277300.0,19.598,0.11281,22053.0,293.35,87555.0,608.2,-0.022616999999999998,0.022098,0.9315100000000001,0.99097,1.0
Row38,22418.0,823.96,12.276,0.033525,0.9846600000000001,1.0626,22058.0,23881.0,296.63,444.12,0.57196,1052100000.0,5270700.0,16.564,0.12625999999999998,22280.0,295.41,88900.0,444.12,-0.026836000000000002,0.026697000000000002,0.94127,0.9933700000000001,1.0
Row39,24922.0,873.2,13.949000000000002,0.035488,0.98506,1.0622,24573.0,26376.0,239.85,396.8,0.54752,1360200000.0,6317600.0,15.811,0.12835,24714.0,312.1,98767.0,396.8,-0.027971,0.025852999999999998,0.94363,0.99406,1.0
Row40,20577.0,396.54,6.2981,0.016288999999999998,0.9809100000000001,1.0817,20110.0,22568.0,361.11,614.74,0.54032,902860000.0,4701200.0,18.777,0.12322999999999999,20828.0,283.43,82397.0,614.74,-0.024571,0.036647000000000006,0.9346200000000001,0.9910100000000001,1.0
Row41,16434.0,438.76,8.1301,0.017715,0.9875799999999999,1.0497,16225.0,17272.0,128.92,505.92,0.33762,607480000.0,3422200.0,17.605999999999998,0.11762,16385.0,253.03,65053.0,505.92,-0.026010000000000002,0.035209,0.9379700000000001,0.9924799999999999,1.0
Row42,16096.0,476.34,8.6734,0.019316,0.9859,1.0586,15869.0,17032.0,153.56,431.95,0.41557,567400000.0,3274900.0,16.405,0.12593,16028.0,250.38,63742.0,431.95,-0.027228,0.032583,0.94175,0.99354,1.0
Row43,37923.0,203.86,3.5349,0.0081738,0.9900700000000001,1.0397,37524.0,39516.0,115.43,850.2,0.21361,3547600000.0,12680000.0,22.99,0.09896,38040.0,387.23,151270.0,850.2,-0.020485,0.050187,0.92119,0.98751,3.0
Row44,37597.0,237.17,4.2649,0.009570299999999999,0.9877,1.0492,37141.0,39422.0,129.38,927.41,0.21833000000000002,3450400000.0,12459000.0,24.372,0.09539500000000001,37622.0,384.6,149370.0,927.41,-0.019583,0.046187,0.9167299999999999,0.98644,3.0
Row45,37024.0,226.59,3.9608,0.0090625,0.9909,1.0413,36710.0,38447.0,251.48,904.55,0.35762,3170800000.0,11807000.0,23.938000000000002,0.09487999999999999,36641.0,380.17,146440.0,904.55,-0.019554,0.049102,0.9181600000000001,0.9867299999999999,3.0
Row46,33589.0,630.68,9.3044,0.027108999999999998,0.9604600000000001,2.0197,31601.0,97963.0,1032.0,358.79,0.85236,2492400000.0,10312000.0,13.13,0.23455,36902.0,378.74,147940.0,358.79,-0.039864,0.13885999999999998,0.95345,0.99471,3.0
Row47,37043.0,925.4,10.363,0.03835,0.9776600000000001,1.095,36180.0,40749.0,785.63,316.4,0.83249,2656300000.0,10840000.0,13.665,0.15334,37439.0,381.69,149150.0,316.4,-0.032414,0.027387,0.95094,0.99526,3.0
Row48,30039.0,854.32,10.152999999999999,0.035068,0.98125,1.08,29505.0,32306.0,821.02,246.96,0.8695,1664300000.0,7700900.0,12.332,0.15579,30135.0,341.39,120080.0,246.96,-0.035503,0.02841,0.95525,0.9962799999999999,3.0
Row49,42607.0,334.9,5.9288,0.013896,0.9771200000000001,1.0978,41662.0,46667.0,371.2,201.94,0.7878,4024500000.0,14310000.0,11.284,0.16469,42773.0,410.31,170040.0,201.94,-0.038855,0.042686,0.95875,0.99695,3.0
Row50,46118.0,303.44,5.3834,0.01248,0.9805,1.0815,45167.0,50108.0,405.2,205.98,0.79966,4895200000.0,16564000.0,11.450999999999999,0.15987,46803.0,428.89,185780.0,205.98,-0.038560000000000004,0.044933999999999995,0.95816,0.9968899999999999,3.0
Row51,51980.0,291.61,7.5838,0.012217,0.97336,1.1102,50595.0,57731.0,121.33,118.29,0.6723399999999999,7171100000.0,21360000.0,8.6491,0.19079000000000002,52377.0,456.82,209300.0,118.29,-0.050055,0.046492,0.9679,0.99821,3.0
Row52,31576.0,412.76,9.5186,0.016943,0.98125,1.0802,30975.0,34154.0,92.536,297.02,0.38392,2520900000.0,9780000.0,13.675999999999998,0.14545,31533.0,353.63,125730.0,297.02,-0.03193,0.034746,0.9506700000000001,0.9955299999999999,3.0
