,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Row1,3.4528e-05,30792.0,151.36,3.3202,0.006084,0.98905,1.0438,3.4146e-05,3.6055e-05,30473.0,32065.0,80.408,746.8,0.17726,2353300000.0,9284400.0,21.671,0.0022179,-0.0022151,0.10340999999999999,0.0053286,30853.0,348.88,122790.0,-0.010435999999999999,746.8,-0.022359999999999998,0.085779,0.059332,0.9251,0.9889899999999999,0.00095601,3.2420999999999996e-10,1.6863e-12,2.4037e-07,1.5048e-20,-7.3006999999999995e-16,-7.571100000000001e-22,1.0
Row2,3.5364e-05,31027.0,278.37,4.3355,0.011123000000000001,0.9913799999999999,1.0345,3.5064e-05,3.6566e-05,30768.0,32064.0,222.1,920.97,0.32539,2199700000.0,8953900.0,23.357,0.0011685,-0.0011677,0.099468,0.0037806999999999997,30896.0,347.73,122730.0,-0.007688500000000001,920.97,-0.020066999999999998,0.06254900000000001,0.043187,0.9205,0.98659,0.00094085,1.1967e-08,9.8486e-12,2.3751e-07,-1.555e-23,6.681000000000001e-17,7.0646e-24,1.0
Row3,3.4889000000000004e-05,30915.0,206.31,3.6189999999999998,0.008232399999999999,0.99197,1.0321,3.4615e-05,3.5984e-05,30666.0,31909.0,166.39,716.02,0.31744,2331500000.0,9292300.0,21.186999999999998,0.0016014,-0.0015999,0.10492,0.005201600000000001,31135.0,349.55,123580.0,-0.009487299999999999,716.02,-0.022026,0.074429,0.050785000000000004,0.92663,0.98941,0.00094796,2.7317e-08,4.3108e-11,1.7640999999999998e-07,2.9204e-22,2.2648000000000004e-15,7.2642e-24,1.0
Row4,4.3766e-05,25234.0,538.91,7.9488,0.021855,0.9859100000000001,1.0563,4.3133e-05,4.6298e-05,24894.0,26593.0,291.17,575.84,0.5028699999999999,1345700000.0,6291200.0,18.52,0.00071311,-0.00071278,0.11859000000000001,0.0027984999999999998,24906.0,312.22,99226.0,-0.007171899999999999,575.84,-0.024595,0.035799,0.031882,0.93524,0.99149,0.0010637,1.7247e-08,2.1114999999999996e-11,2.7635e-07,-4.4169e-22,-2.5098000000000003e-15,-1.3406e-22,1.0
Row5,3.9781e-05,27022.0,749.04,12.389000000000001,0.030371,0.98585,1.0631,3.9183e-05,4.2451000000000004e-05,26663.0,28608.0,233.34,433.35,0.51855,1616800000.0,7180000.0,16.293,0.00064234,-0.00064205,0.12733,0.0029851,26859.0,324.76,106840.0,-0.0079145,433.35,-0.027379,0.023981,0.027760000000000003,0.94219,0.9935299999999999,0.001021,8.5276e-09,1.9183e-11,2.4477e-07,-1.2370999999999999e-21,-2.2024999999999998e-15,-8.468099999999999e-23,1.0
Row6,3.284e-05,32032.0,691.09,12.050999999999998,0.028066000000000004,0.98525,1.0621,3.2346e-05,3.4906e-05,31575.0,33973.0,128.45,495.96,0.34124,2483600000.0,9734400.0,17.51,0.00066232,-0.00066201,0.12153,0.0025189,31907.0,355.12,127120.0,-0.0091789,495.96,-0.025457,0.020941,0.026991,0.9382299999999999,0.99261,0.00093504,6.1308e-09,2.3528000000000004e-11,2.3534000000000001e-07,1.6353999999999998e-23,-2.6263999999999996e-16,5.3184e-23,1.0
Row7,4.1086000000000006e-05,27296.0,2126.1,27.250999999999998,0.086914,0.9827600000000001,1.0717,4.0404e-05,4.3942e-05,26819.0,29267.0,459.81,467.81,0.66284,1510400000.0,6979200.0,16.843,0.00031724,-0.00031716,0.12844,0.0014703,27230.0,325.67,108370.0,-0.0059931,467.81,-0.026246,0.012894999999999998,0.018238,0.94047,0.99303,0.0010185,3.3961e-08,9.0035e-12,1.7485e-07,8.341200000000001e-23,-1.7982e-15,2.7126999999999995e-23,1.0
Row8,4.4386000000000005e-05,26316.0,2639.8,29.526,0.10764000000000001,0.9837799999999999,1.0671,4.3700000000000005e-05,4.7258e-05,25874.0,28124.0,656.72,443.18,0.74775,1308200000.0,6382800.0,16.335,0.00027604,-0.00027598,0.12977,0.0013686,26171.0,318.37,104430.0,-0.00513,443.18,-0.027248,0.014175,0.017878,0.94214,0.99339,0.0011295,1.7545000000000003e-07,1.377e-11,1.9585999999999998e-07,1.9044e-23,-2.5142e-16,-2.0894000000000002e-23,1.0
Row9,3.6267e-05,30439.0,2406.4,30.103,0.097715,0.9853299999999999,1.0623,3.5717e-05,3.8581e-05,30005.0,32305.0,445.58,494.76,0.64302,1919800000.0,8317800.0,17.305,0.00029771,-0.00029765,0.12405999999999999,0.0015126,30374.0,344.71,121110.0,-0.0059317,494.76,-0.025719,0.01225,0.017491,0.9390000000000001,0.99264,0.00098961,1.1448e-07,1.5147e-12,1.9794e-07,3.5747e-24,8.3713e-16,3.9557e-24,1.0
Row10,2.6915999999999998e-05,38567.0,760.63,13.931,0.03168,0.9758100000000001,1.103,2.6257e-05,2.9735999999999998e-05,37654.0,42437.0,259.17,182.25,0.73988,3443700000.0,12585000.0,10.610999999999999,0.00077476,-0.00077433,0.17206,0.0031348,38513.0,390.56,153760.0,-0.0082994,182.25,-0.04099,0.027419,0.030910000000000003,0.96111,0.99724,0.00086459,5.9543999999999994e-08,1.449e-12,1.0482999999999999e-07,2.3442e-22,2.8820999999999996e-15,3.9294e-23,1.0
