,0,1,2,3,4
Row1,30792.0,30853.0,348.88,122790.0,1.0
Row2,31027.0,30896.0,347.73,122730.0,1.0
Row3,30915.0,31135.0,349.55,123580.0,1.0
Row4,25234.0,24906.0,312.22,99226.0,1.0
Row5,27022.0,26859.0,324.76,106840.0,1.0
Row6,32032.0,31907.0,355.12,127120.0,1.0
Row7,27296.0,27230.0,325.67,108370.0,1.0
Row8,26316.0,26171.0,318.37,104430.0,1.0
Row9,30439.0,30374.0,344.71,121110.0,1.0
Row10,38567.0,38513.0,390.56,153760.0,1.0
Row11,39181.0,39158.0,393.83,156290.0,1.0
Row12,40933.0,40877.0,404.08,163760.0,1.0
Row13,17729.0,17807.0,263.02,70303.0,1.0
Row14,18279.0,18132.0,264.37,71517.0,1.0
Row15,20382.0,20281.0,278.94,80085.0,1.0
Row16,25006.0,25062.0,309.53,98687.0,1.0
Row17,25721.0,25606.0,315.33,102010.0,1.0
Row18,23329.0,23460.0,301.14,92810.0,1.0
Row19,21528.0,21482.0,288.98,85080.0,1.0
Row20,21334.0,21177.0,287.3,83987.0,1.0
Row21,20290.0,20273.0,279.57,79889.0,1.0
Row22,25591.0,25380.0,315.59,101300.0,1.0
Row23,24300.0,24223.0,308.77,96641.0,1.0
Row24,25712.0,25496.0,317.02,101920.0,1.0
Row25,25179.0,25058.0,315.59,100060.0,1.0
Row26,23910.0,23787.0,307.32,95123.0,1.0
Row27,23127.0,23158.0,302.85,92287.0,1.0
Row28,38629.0,38569.0,389.79,153760.0,1.0
Row29,37967.0,38232.0,387.76,152130.0,1.0
Row30,32312.0,32307.0,358.69,130340.0,1.0
Row31,21596.0,21655.0,291.12,85710.0,1.0
Row32,21378.0,21267.0,288.19,84607.0,1.0
Row33,22042.0,22107.0,294.71,87788.0,1.0
Row34,19323.0,19299.0,275.14,76680.0,1.0
Row35,24024.0,24176.0,307.88,96268.0,1.0
Row36,26694.0,26936.0,326.36,107130.0,1.0
Row37,22120.0,22053.0,293.35,87555.0,1.0
Row38,22418.0,22280.0,295.41,88900.0,1.0
Row39,24922.0,24714.0,312.1,98767.0,1.0
Row40,20577.0,20828.0,283.43,82397.0,1.0
Row41,16434.0,16385.0,253.03,65053.0,1.0
Row42,16096.0,16028.0,250.38,63742.0,1.0
Row43,37923.0,38040.0,387.23,151270.0,3.0
Row44,37597.0,37622.0,384.6,149370.0,3.0
Row45,37024.0,36641.0,380.17,146440.0,3.0
Row46,33589.0,36902.0,378.74,147940.0,3.0
Row47,37043.0,37439.0,381.69,149150.0,3.0
Row48,30039.0,30135.0,341.39,120080.0,3.0
Row49,42607.0,42773.0,410.31,170040.0,3.0
Row50,46118.0,46803.0,428.89,185780.0,3.0
Row51,51980.0,52377.0,456.82,209300.0,3.0
Row52,31576.0,31533.0,353.63,125730.0,3.0
Row53,30663.0,30487.0,347.48,121490.0,3.0
Row54,33153.0,32953.0,361.98,131620.0,3.0
Row55,43984.0,43602.0,413.43,173880.0,3.0
Row56,42536.0,41989.0,406.78,167880.0,3.0
Row57,38170.0,37369.0,382.32,149970.0,3.0
Row58,28454.0,28569.0,335.85,113480.0,3.0
Row59,26916.0,26751.0,323.94,106490.0,3.0
Row60,29695.0,29496.0,342.2,117860.0,3.0
Row61,35174.0,35865.0,372.27,141070.0,3.0
Row62,33811.0,35014.0,365.22,136250.0,3.0
Row63,35951.0,35723.0,370.07,142140.0,3.0
Row64,29086.0,28948.0,333.32,115430.0,3.0
Row65,33802.0,34047.0,362.73,135810.0,3.0
Row66,34234.0,34143.0,366.76,136320.0,3.0
Row67,34760.0,34822.0,370.11,138660.0,3.0
Row68,26972.0,26997.0,322.85,106810.0,3.0
Row69,26842.0,26454.0,321.6,105940.0,3.0
Row70,27037.0,27051.0,324.42,107240.0,3.0
Row71,31706.0,31574.0,353.62,126080.0,3.0
Row72,22536.0,22478.0,297.06,89351.0,3.0
Row73,22237.0,22072.0,294.33,88171.0,3.0
Row74,22314.0,22174.0,295.77,88349.0,3.0
Row75,43959.0,43707.0,416.14,174900.0,3.0
Row76,42715.0,42809.0,409.51,170290.0,3.0
Row77,39729.0,40406.0,395.23,160360.0,3.0
