,0,1,2,3,4,5,6,7,8,9,10,11,12
Row1,3.4528e-05,30792.0,3.4146e-05,3.6055e-05,30473.0,32065.0,2353300000.0,9284400.0,30853.0,348.88,122790.0,0.00095601,1.0
Row2,3.5364e-05,31027.0,3.5064e-05,3.6566e-05,30768.0,32064.0,2199700000.0,8953900.0,30896.0,347.73,122730.0,0.00094085,1.0
Row3,3.4889000000000004e-05,30915.0,3.4615e-05,3.5984e-05,30666.0,31909.0,2331500000.0,9292300.0,31135.0,349.55,123580.0,0.00094796,1.0
Row4,4.3766e-05,25234.0,4.3133e-05,4.6298e-05,24894.0,26593.0,1345700000.0,6291200.0,24906.0,312.22,99226.0,0.0010637,1.0
Row5,3.9781e-05,27022.0,3.9183e-05,4.2451000000000004e-05,26663.0,28608.0,1616800000.0,7180000.0,26859.0,324.76,106840.0,0.001021,1.0
Row6,3.284e-05,32032.0,3.2346e-05,3.4906e-05,31575.0,33973.0,2483600000.0,9734400.0,31907.0,355.12,127120.0,0.00093504,1.0
Row7,4.1086000000000006e-05,27296.0,4.0404e-05,4.3942e-05,26819.0,29267.0,1510400000.0,6979200.0,27230.0,325.67,108370.0,0.0010185,1.0
Row8,4.4386000000000005e-05,26316.0,4.3700000000000005e-05,4.7258e-05,25874.0,28124.0,1308200000.0,6382800.0,26171.0,318.37,104430.0,0.0011295,1.0
Row9,3.6267e-05,30439.0,3.5717e-05,3.8581e-05,30005.0,32305.0,1919800000.0,8317800.0,30374.0,344.71,121110.0,0.00098961,1.0
Row10,2.6915999999999998e-05,38567.0,2.6257e-05,2.9735999999999998e-05,37654.0,42437.0,3443700000.0,12585000.0,38513.0,390.56,153760.0,0.00086459,1.0
Row11,2.6435e-05,39181.0,2.5665999999999998e-05,2.9709e-05,37992.0,44169.0,3556100000.0,12904000.0,39158.0,393.83,156290.0,0.00084764,1.0
Row12,2.4819e-05,40933.0,2.4233000000000003e-05,2.7269e-05,39940.0,45095.0,4452500000.0,14879000.0,40877.0,404.08,163760.0,0.0008017000000000001,1.0
Row13,6.312100000000001e-05,17729.0,6.2278e-05,6.6639e-05,17544.0,18549.0,718950000.0,3878300.0,17807.0,263.02,70303.0,0.0016158000000000001,1.0
Row14,6.3327e-05,18279.0,6.264e-05,6.6071e-05,18087.0,19049.0,698250000.0,3853400.0,18132.0,264.37,71517.0,0.0014857999999999998,1.0
Row15,6.0148e-05,20382.0,5.9665e-05,6.2084e-05,20186.0,21165.0,875120000.0,4569900.0,20281.0,278.94,80085.0,0.0015519,1.0
Row16,4.8673999999999995e-05,25006.0,4.8318999999999996e-05,5.016e-05,24827.0,25782.0,1273200000.0,6116300.0,25062.0,309.53,98687.0,0.0010215,1.0
Row17,4.5768e-05,25721.0,4.528e-05,4.7717e-05,25438.0,26854.0,1400200000.0,6522900.0,25606.0,315.33,102010.0,0.0010295,1.0
Row18,5.048399999999999e-05,23329.0,4.9987e-05,5.2588999999999994e-05,23069.0,24465.0,1203000000.0,5761900.0,23460.0,301.14,92810.0,0.0011098,1.0
Row19,5.3711e-05,21528.0,5.3082e-05,5.6225e-05,21269.0,22562.0,1067500000.0,5207700.0,21482.0,288.98,85080.0,0.0011425,1.0
Row20,5.3432e-05,21334.0,5.3077e-05,5.4848999999999996e-05,21184.0,21934.0,1039900000.0,5095900.0,21177.0,287.3,83987.0,0.0011539999999999999,1.0
Row21,5.8992e-05,20290.0,5.8608999999999994e-05,6.0521000000000006e-05,20166.0,20787.0,923770000.0,4703300.0,20273.0,279.57,79889.0,0.0011857999999999999,1.0
Row22,4.2665e-05,25591.0,4.1981000000000003e-05,4.5502e-05,25171.0,27350.0,1364200000.0,6400800.0,25380.0,315.59,101300.0,0.0010293,1.0
Row23,4.4143e-05,24300.0,4.3353e-05,4.7422e-05,23890.0,26001.0,1301100000.0,6107300.0,24223.0,308.77,96641.0,0.0010616,1.0
Row24,4.1815e-05,25712.0,4.1054e-05,4.4921000000000006e-05,25244.0,27620.0,1464500000.0,6644200.0,25496.0,317.02,101920.0,0.0010388,1.0
Row25,4.0876999999999995e-05,25179.0,4.0019000000000004e-05,4.4312e-05,24664.0,27242.0,1639700000.0,7031000.0,25058.0,315.59,100060.0,0.0010445,1.0
Row26,4.3533000000000005e-05,23910.0,4.2781e-05,4.6892e-05,23525.0,25629.0,1393000000.0,6302000.0,23787.0,307.32,95123.0,0.0010620999999999998,1.0
Row27,4.4958e-05,23127.0,4.3985e-05,4.8848000000000004e-05,22634.0,25095.0,1343900000.0,6106000.0,23158.0,302.85,92287.0,0.0010923,1.0
Row28,2.748e-05,38629.0,2.7107e-05,2.9103000000000002e-05,38028.0,41291.0,3302000000.0,12319000.0,38569.0,389.79,153760.0,0.00083846,1.0
Row29,2.7947e-05,37967.0,2.7451e-05,3.0030999999999998e-05,37200.0,41192.0,3232500000.0,12088000.0,38232.0,387.76,152130.0,0.00086499,1.0
Row30,3.3531e-05,32312.0,3.3160999999999996e-05,3.5105e-05,31936.0,33882.0,2348900000.0,9540300.0,32307.0,358.69,130340.0,0.00091096,1.0
Row31,4.9906000000000006e-05,21596.0,4.912e-05,5.304899999999999e-05,21292.0,22814.0,1092200000.0,5276500.0,21655.0,291.12,85710.0,0.0011685999999999999,1.0
Row32,5.2521999999999996e-05,21378.0,5.1838999999999996e-05,5.5256999999999996e-05,21099.0,22494.0,990090000.0,4998100.0,21267.0,288.19,84607.0,0.0011547,1.0
Row33,4.8667e-05,22042.0,4.79e-05,5.1918e-05,21716.0,23416.0,1151300000.0,5509600.0,22107.0,294.71,87788.0,0.0011857,1.0
Row34,5.5352e-05,19323.0,5.4168999999999996e-05,6.0243e-05,18923.0,20963.0,839250000.0,4360800.0,19299.0,275.14,76680.0,0.0012547,1.0
Row35,4.5098999999999996e-05,24024.0,4.4373000000000004e-05,4.8033999999999994e-05,23627.0,25634.0,1244700000.0,5969200.0,24176.0,307.88,96268.0,0.0010234999999999999,1.0
Row36,3.8845e-05,26694.0,3.824e-05,4.1382e-05,26268.0,28473.0,1827100000.0,7677700.0,26936.0,326.36,107130.0,0.0010019,1.0
Row37,5.0292e-05,22120.0,4.9622e-05,5.3023000000000004e-05,21807.0,23390.0,1067200000.0,5277300.0,22053.0,293.35,87555.0,0.0011324999999999998,1.0
Row38,4.9392e-05,22418.0,4.8682e-05,5.232e-05,22058.0,23881.0,1052100000.0,5270700.0,22280.0,295.41,88900.0,0.0011543,1.0
Row39,4.3184e-05,24922.0,4.251e-05,4.5991999999999996e-05,24573.0,26376.0,1360200000.0,6317600.0,24714.0,312.1,98767.0,0.0010688,1.0
Row40,5.4797e-05,20577.0,5.3879e-05,5.8708999999999996e-05,20110.0,22568.0,902860000.0,4701200.0,20828.0,283.43,82397.0,0.0012064,1.0
Row41,6.7066e-05,16434.0,6.6283e-05,7.0195e-05,16225.0,17272.0,607480000.0,3422200.0,16385.0,253.03,65053.0,0.0013800000000000002,1.0
Row42,6.858399999999999e-05,16096.0,6.7653e-05,7.25e-05,15869.0,17032.0,567400000.0,3274900.0,16028.0,250.38,63742.0,0.0014344000000000002,1.0
Row43,2.8076e-05,37923.0,2.782e-05,2.9103000000000002e-05,37524.0,39516.0,3547600000.0,12680000.0,38040.0,387.23,151270.0,0.00084733,3.0
Row44,2.8647e-05,37597.0,2.8294e-05,3.0061999999999998e-05,37141.0,39422.0,3450400000.0,12459000.0,37622.0,384.6,149370.0,0.00087071,3.0
Row45,2.9398000000000002e-05,37024.0,2.9105e-05,3.071e-05,36710.0,38447.0,3170800000.0,11807000.0,36641.0,380.17,146440.0,0.00091494,3.0
Row46,3.2612e-05,33589.0,3.1695999999999996e-05,4.944e-05,31601.0,97963.0,2492400000.0,10312000.0,36902.0,378.74,147940.0,0.00088449,3.0
Row47,3.0068e-05,37043.0,2.9417e-05,3.2809000000000004e-05,36180.0,40749.0,2656300000.0,10840000.0,37439.0,381.69,149150.0,0.00085377,3.0
Row48,3.7935e-05,30039.0,3.7186999999999995e-05,4.1123e-05,29505.0,32306.0,1664300000.0,7700900.0,30135.0,341.39,120080.0,0.0009582000000000001,3.0
Row49,2.4602e-05,42607.0,2.4016999999999997e-05,2.7083e-05,41662.0,46667.0,4024500000.0,14310000.0,42773.0,410.31,170040.0,0.00080323,3.0
Row50,2.2778e-05,46118.0,2.2369000000000002e-05,2.4480999999999998e-05,45167.0,50108.0,4895200000.0,16564000.0,46803.0,428.89,185780.0,0.00078873,3.0
Row51,1.9536e-05,51980.0,1.9018e-05,2.1673e-05,50595.0,57731.0,7171100000.0,21360000.0,52377.0,456.82,209300.0,0.0007112,3.0
Row52,3.2715e-05,31576.0,3.2113e-05,3.5274e-05,30975.0,34154.0,2520900000.0,9780000.0,31533.0,353.63,125730.0,0.0009423999999999999,3.0
Row53,3.3796999999999995e-05,30663.0,3.3097e-05,3.6698e-05,30064.0,33133.0,2310600000.0,9183100.0,30487.0,347.48,121490.0,0.00095545,3.0
