,0,1,2,3,4
Row1,32065.0,2353300000.0,9284400.0,122790.0,1.0
Row2,32064.0,2199700000.0,8953900.0,122730.0,1.0
Row3,31909.0,2331500000.0,9292300.0,123580.0,1.0
Row4,26593.0,1345700000.0,6291200.0,99226.0,1.0
Row5,28608.0,1616800000.0,7180000.0,106840.0,1.0
Row6,33973.0,2483600000.0,9734400.0,127120.0,1.0
Row7,29267.0,1510400000.0,6979200.0,108370.0,1.0
Row8,28124.0,1308200000.0,6382800.0,104430.0,1.0
Row9,32305.0,1919800000.0,8317800.0,121110.0,1.0
Row10,42437.0,3443700000.0,12585000.0,153760.0,1.0
Row11,44169.0,3556100000.0,12904000.0,156290.0,1.0
Row12,45095.0,4452500000.0,14879000.0,163760.0,1.0
Row13,18549.0,718950000.0,3878300.0,70303.0,1.0
Row14,19049.0,698250000.0,3853400.0,71517.0,1.0
Row15,21165.0,875120000.0,4569900.0,80085.0,1.0
Row16,25782.0,1273200000.0,6116300.0,98687.0,1.0
Row17,26854.0,1400200000.0,6522900.0,102010.0,1.0
Row18,24465.0,1203000000.0,5761900.0,92810.0,1.0
Row19,22562.0,1067500000.0,5207700.0,85080.0,1.0
Row20,21934.0,1039900000.0,5095900.0,83987.0,1.0
Row21,20787.0,923770000.0,4703300.0,79889.0,1.0
Row22,27350.0,1364200000.0,6400800.0,101300.0,1.0
Row23,26001.0,1301100000.0,6107300.0,96641.0,1.0
Row24,27620.0,1464500000.0,6644200.0,101920.0,1.0
Row25,27242.0,1639700000.0,7031000.0,100060.0,1.0
Row26,25629.0,1393000000.0,6302000.0,95123.0,1.0
Row27,25095.0,1343900000.0,6106000.0,92287.0,1.0
Row28,41291.0,3302000000.0,12319000.0,153760.0,1.0
Row29,41192.0,3232500000.0,12088000.0,152130.0,1.0
Row30,33882.0,2348900000.0,9540300.0,130340.0,1.0
Row31,22814.0,1092200000.0,5276500.0,85710.0,1.0
Row32,22494.0,990090000.0,4998100.0,84607.0,1.0
Row33,23416.0,1151300000.0,5509600.0,87788.0,1.0
Row34,20963.0,839250000.0,4360800.0,76680.0,1.0
Row35,25634.0,1244700000.0,5969200.0,96268.0,1.0
Row36,28473.0,1827100000.0,7677700.0,107130.0,1.0
Row37,23390.0,1067200000.0,5277300.0,87555.0,1.0
Row38,23881.0,1052100000.0,5270700.0,88900.0,1.0
Row39,26376.0,1360200000.0,6317600.0,98767.0,1.0
Row40,22568.0,902860000.0,4701200.0,82397.0,1.0
Row41,17272.0,607480000.0,3422200.0,65053.0,1.0
Row42,17032.0,567400000.0,3274900.0,63742.0,1.0
Row43,39516.0,3547600000.0,12680000.0,151270.0,3.0
Row44,39422.0,3450400000.0,12459000.0,149370.0,3.0
Row45,38447.0,3170800000.0,11807000.0,146440.0,3.0
Row46,97963.0,2492400000.0,10312000.0,147940.0,3.0
Row47,40749.0,2656300000.0,10840000.0,149150.0,3.0
Row48,32306.0,1664300000.0,7700900.0,120080.0,3.0
Row49,46667.0,4024500000.0,14310000.0,170040.0,3.0
Row50,50108.0,4895200000.0,16564000.0,185780.0,3.0
Row51,57731.0,7171100000.0,21360000.0,209300.0,3.0
Row52,34154.0,2520900000.0,9780000.0,125730.0,3.0
Row53,33133.0,2310600000.0,9183100.0,121490.0,3.0
Row54,36643.0,2814900000.0,10537000.0,131620.0,3.0
Row55,47786.0,3869000000.0,14171000.0,173880.0,3.0
Row56,45394.0,3720700000.0,13593000.0,167880.0,3.0
Row57,41620.0,2623600000.0,10804000.0,149970.0,3.0
Row58,29878.0,2038600000.0,8357200.0,113480.0,3.0
Row59,28331.0,1588100000.0,7136700.0,106490.0,3.0
Row60,32311.0,2171000000.0,8760900.0,117860.0,3.0
Row61,38392.0,2496400000.0,10223000.0,141070.0,3.0
Row62,36302.0,2264700000.0,9614900.0,136250.0,3.0
Row63,39591.0,2199500000.0,9714400.0,142140.0,3.0
Row64,31722.0,1416300000.0,6993900.0,115430.0,3.0
Row65,36753.0,2083800000.0,9207400.0,135810.0,3.0
Row66,36733.0,2689400000.0,10490000.0,136320.0,3.0
Row67,36336.0,2811200000.0,10800000.0,138660.0,3.0
Row68,28600.0,1423500000.0,6717600.0,106810.0,3.0
Row69,29013.0,1337600000.0,6473000.0,105940.0,3.0
Row70,29427.0,1447800000.0,6792100.0,107240.0,3.0
Row71,34321.0,2363400000.0,9452300.0,126080.0,3.0
Row72,24207.0,1132900000.0,5492500.0,89351.0,3.0
Row73,23695.0,1025800000.0,5203100.0,88171.0,3.0
Row74,24472.0,1151000000.0,5526600.0,88349.0,3.0
Row75,47158.0,4471900000.0,15344000.0,174900.0,3.0
Row76,46127.0,4043400000.0,14417000.0,170290.0,3.0
Row77,43428.0,3260300000.0,12564000.0,160360.0,3.0
