,0,1,2,3,4,5,6,7,8
Row1,30792.0,30473.0,32065.0,80.408,2353300000.0,9284400.0,30853.0,122790.0,1.0
Row2,31027.0,30768.0,32064.0,222.1,2199700000.0,8953900.0,30896.0,122730.0,1.0
Row3,30915.0,30666.0,31909.0,166.39,2331500000.0,9292300.0,31135.0,123580.0,1.0
Row4,25234.0,24894.0,26593.0,291.17,1345700000.0,6291200.0,24906.0,99226.0,1.0
Row5,27022.0,26663.0,28608.0,233.34,1616800000.0,7180000.0,26859.0,106840.0,1.0
Row6,32032.0,31575.0,33973.0,128.45,2483600000.0,9734400.0,31907.0,127120.0,1.0
Row7,27296.0,26819.0,29267.0,459.81,1510400000.0,6979200.0,27230.0,108370.0,1.0
Row8,26316.0,25874.0,28124.0,656.72,1308200000.0,6382800.0,26171.0,104430.0,1.0
Row9,30439.0,30005.0,32305.0,445.58,1919800000.0,8317800.0,30374.0,121110.0,1.0
Row10,38567.0,37654.0,42437.0,259.17,3443700000.0,12585000.0,38513.0,153760.0,1.0
Row11,39181.0,37992.0,44169.0,265.23,3556100000.0,12904000.0,39158.0,156290.0,1.0
Row12,40933.0,39940.0,45095.0,76.979,4452500000.0,14879000.0,40877.0,163760.0,1.0
Row13,17729.0,17544.0,18549.0,111.85,718950000.0,3878300.0,17807.0,70303.0,1.0
Row14,18279.0,18087.0,19049.0,209.66,698250000.0,3853400.0,18132.0,71517.0,1.0
Row15,20382.0,20186.0,21165.0,300.01,875120000.0,4569900.0,20281.0,80085.0,1.0
Row16,25006.0,24827.0,25782.0,420.51,1273200000.0,6116300.0,25062.0,98687.0,1.0
Row17,25721.0,25438.0,26854.0,352.53,1400200000.0,6522900.0,25606.0,102010.0,1.0
Row18,23329.0,23069.0,24465.0,238.19,1203000000.0,5761900.0,23460.0,92810.0,1.0
Row19,21528.0,21269.0,22562.0,118.19,1067500000.0,5207700.0,21482.0,85080.0,1.0
Row20,21334.0,21184.0,21934.0,119.43,1039900000.0,5095900.0,21177.0,83987.0,1.0
Row21,20290.0,20166.0,20787.0,119.56,923770000.0,4703300.0,20273.0,79889.0,1.0
Row22,25591.0,25171.0,27350.0,334.45,1364200000.0,6400800.0,25380.0,101300.0,1.0
Row23,24300.0,23890.0,26001.0,232.75,1301100000.0,6107300.0,24223.0,96641.0,1.0
Row24,25712.0,25244.0,27620.0,257.32,1464500000.0,6644200.0,25496.0,101920.0,1.0
Row25,25179.0,24664.0,27242.0,53.756,1639700000.0,7031000.0,25058.0,100060.0,1.0
Row26,23910.0,23525.0,25629.0,107.05,1393000000.0,6302000.0,23787.0,95123.0,1.0
Row27,23127.0,22634.0,25095.0,63.107,1343900000.0,6106000.0,23158.0,92287.0,1.0
Row28,38629.0,38028.0,41291.0,376.13,3302000000.0,12319000.0,38569.0,153760.0,1.0
Row29,37967.0,37200.0,41192.0,349.16,3232500000.0,12088000.0,38232.0,152130.0,1.0
Row30,32312.0,31936.0,33882.0,335.34,2348900000.0,9540300.0,32307.0,130340.0,1.0
Row31,21596.0,21292.0,22814.0,117.32,1092200000.0,5276500.0,21655.0,85710.0,1.0
Row32,21378.0,21099.0,22494.0,232.06,990090000.0,4998100.0,21267.0,84607.0,1.0
Row33,22042.0,21716.0,23416.0,112.33,1151300000.0,5509600.0,22107.0,87788.0,1.0
Row34,19323.0,18923.0,20963.0,162.62,839250000.0,4360800.0,19299.0,76680.0,1.0
Row35,24024.0,23627.0,25634.0,280.12,1244700000.0,5969200.0,24176.0,96268.0,1.0
Row36,26694.0,26268.0,28473.0,83.76799999999999,1827100000.0,7677700.0,26936.0,107130.0,1.0
Row37,22120.0,21807.0,23390.0,221.85,1067200000.0,5277300.0,22053.0,87555.0,1.0
Row38,22418.0,22058.0,23881.0,296.63,1052100000.0,5270700.0,22280.0,88900.0,1.0
Row39,24922.0,24573.0,26376.0,239.85,1360200000.0,6317600.0,24714.0,98767.0,1.0
Row40,20577.0,20110.0,22568.0,361.11,902860000.0,4701200.0,20828.0,82397.0,1.0
Row41,16434.0,16225.0,17272.0,128.92,607480000.0,3422200.0,16385.0,65053.0,1.0
Row42,16096.0,15869.0,17032.0,153.56,567400000.0,3274900.0,16028.0,63742.0,1.0
Row43,37923.0,37524.0,39516.0,115.43,3547600000.0,12680000.0,38040.0,151270.0,3.0
Row44,37597.0,37141.0,39422.0,129.38,3450400000.0,12459000.0,37622.0,149370.0,3.0
Row45,37024.0,36710.0,38447.0,251.48,3170800000.0,11807000.0,36641.0,146440.0,3.0
Row46,33589.0,31601.0,97963.0,1032.0,2492400000.0,10312000.0,36902.0,147940.0,3.0
Row47,37043.0,36180.0,40749.0,785.63,2656300000.0,10840000.0,37439.0,149150.0,3.0
Row48,30039.0,29505.0,32306.0,821.02,1664300000.0,7700900.0,30135.0,120080.0,3.0
Row49,42607.0,41662.0,46667.0,371.2,4024500000.0,14310000.0,42773.0,170040.0,3.0
Row50,46118.0,45167.0,50108.0,405.2,4895200000.0,16564000.0,46803.0,185780.0,3.0
Row51,51980.0,50595.0,57731.0,121.33,7171100000.0,21360000.0,52377.0,209300.0,3.0
Row52,31576.0,30975.0,34154.0,92.536,2520900000.0,9780000.0,31533.0,125730.0,3.0
Row53,30663.0,30064.0,33133.0,111.78,2310600000.0,9183100.0,30487.0,121490.0,3.0
Row54,33153.0,32305.0,36643.0,91.89,2814900000.0,10537000.0,32953.0,131620.0,3.0
Row55,43984.0,43060.0,47786.0,647.36,3869000000.0,14171000.0,43602.0,173880.0,3.0
Row56,42536.0,41852.0,45394.0,519.97,3720700000.0,13593000.0,41989.0,167880.0,3.0
Row57,38170.0,37346.0,41620.0,872.23,2623600000.0,10804000.0,37369.0,149970.0,3.0
Row58,28454.0,28098.0,29878.0,92.446,2038600000.0,8357200.0,28569.0,113480.0,3.0
Row59,26916.0,26575.0,28331.0,296.82,1588100000.0,7136700.0,26751.0,106490.0,3.0
Row60,29695.0,29067.0,32311.0,110.64,2171000000.0,8760900.0,29496.0,117860.0,3.0
Row61,35174.0,34369.0,38392.0,553.38,2496400000.0,10223000.0,35865.0,141070.0,3.0
Row62,33811.0,33188.0,36302.0,638.91,2264700000.0,9614900.0,35014.0,136250.0,3.0
Row63,35951.0,35108.0,39591.0,1236.2,2199500000.0,9714400.0,35723.0,142140.0,3.0
Row64,29086.0,28451.0,31722.0,1025.6,1416300000.0,6993900.0,28948.0,115430.0,3.0
Row65,33802.0,33108.0,36753.0,991.0,2083800000.0,9207400.0,34047.0,135810.0,3.0
Row66,34234.0,33661.0,36733.0,311.98,2689400000.0,10490000.0,34143.0,136320.0,3.0
Row67,34760.0,34372.0,36336.0,236.14,2811200000.0,10800000.0,34822.0,138660.0,3.0
Row68,26972.0,26572.0,28600.0,503.78,1423500000.0,6717600.0,26997.0,106810.0,3.0
Row69,26842.0,26335.0,29013.0,565.42,1337600000.0,6473000.0,26454.0,105940.0,3.0
Row70,27037.0,26488.0,29427.0,429.11,1447800000.0,6792100.0,27051.0,107240.0,3.0
Row71,31706.0,31085.0,34321.0,188.58,2363400000.0,9452300.0,31574.0,126080.0,3.0
Row72,22536.0,22140.0,24207.0,188.72,1132900000.0,5492500.0,22478.0,89351.0,3.0
Row73,22237.0,21878.0,23695.0,300.88,1025800000.0,5203100.0,22072.0,88171.0,3.0
Row74,22314.0,21818.0,24472.0,135.34,1151000000.0,5526600.0,22174.0,88349.0,3.0
Row75,43959.0,43217.0,47158.0,343.02,4471900000.0,15344000.0,43707.0,174900.0,3.0
Row76,42715.0,41911.0,46127.0,545.34,4043400000.0,14417000.0,42809.0,170290.0,3.0
Row77,39729.0,38938.0,43428.0,894.28,3260300000.0,12564000.0,40406.0,160360.0,3.0
